Starý Kolín	-682352.209281	-1059813.72668
Stříbrná Skalice	-715523.552405	-1067048.33351
Svojšice	-700710.846973	-1057949.43308
Tismice	-716187.373183	-1050053.03634
Toušice	-702101.785768	-1060137.98745
Třebovle	-705076.494593	-1054358.08772
Tři Dvory	-684619.65814	-1056868.97157
Tuchoraz	-713155.800281	-1052109.95482
Tuklaty	-718990.448418	-1046541.60801
Korno	-765745.505292	-1058547.14255
Týnec nad Labem	-677848.183211	-1056404.46596
Uhlířská Lhota	-673707.684738	-1052604.2871
Veletov	-680948.978468	-1057596.74235
Velim	-694501.106567	-1052612.99808
Velký Osek	-687608.077734	-1049635.24626
Veltruby	-688869.808755	-1052435.28823
Vitice	-708610.558184	-1055415.78361
Vlkančice	-711803.891946	-1068201.1012
Volárna	-685050.11669	-1050248.98387
Vrbčany	-703105.240344	-1052290.9057
Vyžlovka	-718751.232537	-1058293.39408
Mořinka	-758072.595528	-1057426.628
Zásmuky	-702339.223087	-1064123.62562
Lážovice	-770964.565274	-1064612.66398
Žiželice	-673006.029596	-1048067.47903
Kutná Hora	-683765.149278	-1066528.58247
Skřipel	-771519.414289	-1066532.12118
Bílé Podolí	-669478.414303	-1067589.14776
Bohdaneč	-689896.317141	-1084368.9696
Církvice	-679411.141608	-1066523.7413
Čáslav	-676104.772536	-1070863.69262
Černíny	-689603.281926	-1077320.86135
Červené Janovice	-686246.192305	-1079270.60373
Čestín	-699133.079832	-1080535.64546
Vižina	-768520.49897	-1066114.30623
Horka II	-697611.366385	-1090050.76
Hostovlice	-671649.955155	-1077266.60502
Kotopeky	-781688.200427	-1063953.2978
Chabeřice	-702173.23245	-1085961.98253
Chlístovice	-692618.304531	-1074802.82599
Chotusice	-675594.676645	-1067068.99416
Otmíče	-779410.970179	-1062223.03096
Kácov	-704274.518047	-1082241.35787
Kluky	-682477.047762	-1071964.4453
Bykoš	-771179.496289	-1062093.31261
Krchleby	-680048.850954	-1074550.54941
Křesetice	-685607.950441	-1071164.16929
Ledečko	-709740.407139	-1074484.05844
Malešov	-689211.523489	-1070812.58202
Svatý Mikuláš	-677659.518731	-1061496.02366
Miskovice	-688077.569512	-1066055.89004
Málkov	-774422.288051	-1060831.79391
Nepoměřice	-694067.84177	-1072906.01292
Vinařice	-769012.670938	-1061259.93243
Nové Dvory	-680272.019549	-1063750.75406
Okřesaneč	-671532.616897	-1078925.00611
Nesvačily	-766997.630955	-1062677.32748
Onomyšl	-695640.12832	-1070137.38592
Podbrdy	-767011.767644	-1065323.39049
Soběšín	-708193.35074	-1079689.39137
Pertoltice	-693649.004215	-1087141.89847
Petrovice I	-684240.803418	-1081991.21537
Petrovice II	-700480.688533	-1078618.59958
Potěhy	-674765.572231	-1076125.41367
Rašovice	-697808.508484	-1070618.52431
Rataje nad Sázavou	-707777.755131	-1075240.98986
Řendějov	-700125.319783	-1084192.79581
Samopše	-709644.882235	-1072513.05313
Sázava	-712331.135746	-1072514.94385
Slavošov	-694393.12845	-1084959.27247
Lužce	-760230.615692	-1052340.16728
Staňkovice	-703804.802799	-1072511.10429
Bavoryně	-778757.862531	-1059710.98506
Suchdol	-693393.772829	-1066265.48923
Chodouň	-776687.651613	-1060024.73948
Chlustina	-781191.875888	-1060354.95063
Točník	-784011.132566	-1059549.17906
Záhornice	-680021.022824	-1033454.20056
Tupadly	-676753.434792	-1075758.94881
Uhlířské Janovice	-700812.470745	-1073555.41549
