-828138.18	-988352.21	-829024.303	-985564.954	39.2354
-768394.55	-991513.293	-768913.823	-991587.479	5.8511
-776179.99	-979470.54	-774371.24	-980479.83	35.3498
-680931.996	-991412.351	-681247.84	-991599.76	5.858
-729424.24	-1055153.083	-728273.927	-1055690.496	15.7389
-741783.23	-1022223.97	-741471.85	-1019735.03	28.159
-704080.94	-1018633.22	-704031.14	-1018885.86	2.8612
-814270.804	-1042305.748	-814250.59	-1042219.57	0.9847
-770761.02	-979548.54	-773237.107	-978438.398	26.0453
-800928.821	-1006647.121	-798710.683	-1005533.253	34.2958
-738037.11	-1005368.743	-738002.88	-1005326.91	0.6039
-808251.99	-998862.84	-807625.76	-999569.73	10.9847
-729298.04	-1084653.56	-729054.11	-1086088.29	24.173
-850635.225	-1022379.352	-846221.073	-1022074.287	60.4246
-701062.533	-1010506.052	-700948.227	-1010726.782	5.2053
-794481.78	-1004012.95	-794481.072	-1003988.877	0.3358
-712873.074	-983376.143	-712873.971	-983396.929	0.596
-758192.223	-1015753.97	-758638.51	-1013428.37	37.3082
-856461.245	-1058546.125	-856838.514	-1058576.18	4.8782
-642862.219	-1071659.45	-640730.83	-1072215.52	24.6941
-714747.487	-1020317.35	-715971.72	-1019153.54	19.5149
-772600.332	-1054949.996	-772662.778	-1054864.906	2.1122
-753305.819	-1004644.725	-753311.776	-1004662.85	0.2577
-802663.404	-1071055.267	-806461.312	-1072615.239	48.5767
-780629.94	-1015323.93	-779957.29	-1013277.41	24.5437
-845263.628	-1031836.868	-845191.49	-1031871.04	1.7885
-800845.07	-1040057.81	-799534.342	-1038607.217	29.7297
-783506.85	-1065494.96	-783554.64	-1066015.71	19.1379
-783766.49	-973858.9	-784099.891	-975185.692	18.1668
-644574.533	-1038412.225	-644501.1	-1038399.972	0.8561
-659255.092	-1065048.695	-659884.474	-1065080.258	12.9997
-671157.532	-1014752.688	-671278.02	-1014903.47	2.77
-657637.67	-1071921.73	-659661.553	-1072015.61	27.4684
-673383.37	-1012036.57	-673303.995	-1012046.221	1.859
-850259.53	-1002106.96	-849278.494	-1001949.545	11.3509
-692398.456	-1061029.368	-691574.13	-1060305.91	12.4609
-687349.345	-1073792.005	-688002.282	-1075181.562	30.5034
-881432.276	-1028474.542	-881426.324	-1030947.055	32.0215
-848599.115	-1010014.034	-848631.622	-1009970.503	1.9799
-810667.344	-991730.324	-810333.785	-991622.577	5.2272
